PacketCounter;SchouderLinks_EUL;SchouderLinks_ACC;SchouderLinks_GYR;BovenLinks_ACC;BovenLinks_QUAT;BovenLinks_GYR;OnderLinks_ACC;OnderLinks_EUL;OnderLinks_GYR;Sternum_ACC;Sternum_QUAT;Sternum_GYR;SchouderRechts_ACC;SchouderRechts_QUAT;SchouderRechts_GYR;BovenRechts_ACC;BovenRechts_QUAT;BovenRechts_GYR;OnderRechts_ACC;OnderRechts_QUAT;OnderRechts_GYR
36;156,5815509;9,929221944;5,062729226;10,08392039;0,633334927;4,389046924;9,99986908;184,4809044;2,817399275;1,316147288;1,231979989;1,948112664;10,06675195;0,999518336;3,940096801;9,886710008;0,884143148;2,502806021;9,963658735;0,943002196;2,583070481
37;156,5758141;9,931003872;5,070773958;10,06002357;0,633379222;4,583386237;10,00309663;184,4710166;2,718652065;1,310906696;1,232077083;1,443634832;10,07709261;0,999513843;4,011959922;9,864536948;0,88406977;2,428096691;9,947778051;0,943069067;2,910177003
38;156,5763215;9,947291949;4,971315558;10,05754847;0,633424629;4,364810643;9,979482784;184,4609012;2,375459392;1,353420766;1,232159728;1,289873481;10,1084299;0,999509017;3,929664104;9,884414389;0,883994085;2,455443993;9,983741561;0,943118393;2,733172811
39;156,5798714;9,936014177;4,574069701;10,07522202;0,6334904;4,162120914;10,02938343;184,4506952;1,872812367;1,378617798;1,232236957;1,070545081;10,13519006;0,999504628;4,051509798;9,922454684;0,883923828;2,578838499;9,97061786;0,943157781;2,231522507
40;156,5741083;9,887285675;4,638713547;10,06439845;0,633596631;4,171919327;10,00988363;184,4433814;1,375277285;1,443236421;1,232331613;0,842070994;10,15093808;0,999501492;4,042552334;9,948560178;0,883856829;2,62934228;9,978774112;0,943194374;2,396254749
41;156,5569013;9,877401721;5,313291886;10,03554441;0,633703793;4,496345241;9,980844305;184,4383986;1,156747701;1,582303464;1,232434781;0,752119083;10,13303977;0,999499506;4,100530879;9,934268953;0,883799162;2,273074115;9,985777486;0,943215966;2,525550201
42;156,535549;9,836549516;5,64169294;9,997393429;0,633795957;5,232324357;9,954688479;184,4377864;1,049398591;1,744382639;1,232544242;0,80186853;10,10498262;0,999498324;4,021425911;9,935401324;0,883748187;2,107512743;9,985642753;0,943237586;2,260044414
43;156,5206174;9,837256101;5,46078337;9,97482805;0,633876051;5,684143182;9,942581746;184,4378107;1,087076407;1,746091263;1,232644402;0,803343787;10,10954269;0,99949646;4,174160128;9,908724705;0,88370054;2,063707076;9,986422598;0,943264718;2,857354117
44;156,5108945;9,843355706;5,443268693;9,982033837;0,633956175;5,61600499;9,932030627;184,4404946;1,123120708;1,714382971;1,232708779;1,009423123;10,09807181;0,999494153;4,405399914;9,890881257;0,88366308;1,785731005;10,00928948;0,943281293;2,620758996
45;156,5039529;9,860460727;5,383881975;9,976749035;0,634051039;5,403677784;9,944621032;184,4443151;1,103880886;1,734676988;1,232758308;1,36533774;10,09829322;0,999491696;4,580525507;9,900664427;0,883631108;1,933847065;9,977865275;0,943308572;2,565158419
46;156,5027519;9,856819953;5,216460533;9,990801313;0,634165179;5,317384704;9,97226336;184,4482543;0,853574516;1,613717959;1,232809875;1,384703931;10,07802297;0,99948902;4,679338365;9,908452236;0,88359531;2,162503966;9,998835034;0,943337409;2,473992465
